student_id,gender,age,city,area_type,university_name,department,program_level,semester,attendance_percentage,study_hours_per_day,previous_semester_gpa,current_cgpa,assignments_score,midterm_marks,final_exam_marks,sleep_hours,social_media_hours,part_time_job,internet_access_home,family_support,tuition_or_academy,hostel_resident,distance_from_university_km,transport_mode,electricity_availability_home,final_grade,pass_fail_status,risk_level
1001,Male,20,Peshawar,Urban,Sarhad University of Science and Information Technology,BSCS,Undergraduate,3,85,5,3.2,3.4,78,72,75,6,3,No,Yes,Yes,Yes,No,4,University Bus,Regular,B,Pass,Low Risk
1002,Female,19,Mardan,Rural,Sarhad University of Science and Information Technology,BSSE,Undergraduate,2,78,4,2.8,2.9,65,58,62,7,4,No,Yes, Yes ,No,Yes,18,University Bus,Load Shedding,C,Pass,Medium Risk
1003,Male,22,Swat,Rural,Sarhad University of Science and Information Technology,BBA,Undergraduate,4,92,6,3.6,3.7,88,85,89,6,2,No,Yes,Yes,Yes,Yes,0,Walk,Regular,A,Pass,Low Risk
1004,Female,21,Peshawar,Urban,Sarhad University of Science and Information Technology,MBA,Graduate,2,88,5,3.4,3.5,82,78,80,6,3,No,Yes,Yes,No,No,7,Private Transport,Regular,B,Pass,Low Risk
1005,Male,19,Charsadda,Rural,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,3,65,3,2.2,2.4,55,48,52,8,5,Yes,No,Yes,No,No,22,Public Transport,Load Shedding,D,Pass,High Risk
1006,Female,20,Nowshera,Urban,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,4,82,5,3.1,3.3,75,70,74,7,3,No,Yes,Yes,Yes,Yes,0,Walk,Regular,B,Pass,Low Risk
1007,Male,23,Lahore,Urban,Sarhad University of Science and Information Technology,English,Undergraduate,6,90,6,3.5,3.6,85,82,86,6,2,No,Yes,Yes,Yes,Yes,0,Walk,Regular,A,Pass,Low Risk
1008,Female,18,Peshawar,Urban,Sarhad University of Science and Information Technology,BSCS,Undergraduate,1,75,4,,,68,62,65,7,4,No,Yes,YES,No,No,5,University Bus,Regular,C,Pass,Medium Risk
1009,Male,21,Karachi,Urban,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,5,58,2,1.8,2.0,45,40,44,8,6, no ,Yes,No,No,No,12,Public Transport,Regular,F,Fail,High Risk
1010,Female,20,Peshawar,Rural,Sarhad University of Science and Information Technology,BSSE,Undergraduate,3,80,5,3.0,3.2,72,68,71,6,3,No,Yes,Yes,Yes,No,15,University Bus,Load Shedding,B,Pass,Low Risk
1011,Male,22,Mardan,Urban,Sarhad University of Science and Information Technology,BBA,Undergraduate,5,87,5,3.3,3.5,80,75,78,6,3,No,Yes,Yes,No,Yes,0,Walk,Regular,B,Pass,Low Risk
1012,Female,19,Swat,Rural,Sarhad University of Science and Information Technology,BSCS,Undergraduate,2,70,3,2.5,2.6,60,55,58,7,5,No,No,Yes,No,Yes,0,Walk,Load Shedding,C,Pass,Medium Risk
1013,Male,24,Peshawar,Urban,Sarhad University of Science and Information Technology,MBA,Graduate,3,94,7,3.8,3.9,92,88,91,5,1,No,Yes,Yes,Yes,No,3,Private Transport,Regular,A,Pass,Low Risk
1014,Female,20,Charsadda,Rural,Sarhad University of Science and Information Technology,Electrical Engineering,Undergraduate,4,68,3,2.3,2.5,58,52,55,8,5,Yes,Yes,Yes,No,No,20,Public Transport,Load Shedding,D,Pass,High Risk
1015,Male,21,Nowshera,Urban,Sarhad University of Science and Information Technology,Civil Engineering,Undergraduate,5,85,6,3.2,3.4,78,74,77,6,2,No,Yes,Yes,Yes,Yes,0,Walk,Regular,B,Pass,Low Risk
1016,Female,19,Peshawar,Urban,Sarhad University of Science and Information Technology,English,Undergraduate,2,88,5,3.3,3.4,82,78,81,6,3,No,Yes, yes ,Yes,No,6,University Bus,Regular,B,Pass,Low Risk
1017,Male,20,Lahore,Urban,Sarhad University of Science and Information Technology,Mathematics,Undergraduate,3,91,6,3.6,3.7,87,83,86,6,2,No,Yes,Yes,No,Yes,0,Walk,Regular,A,Pass,Low Risk
1018,Female,22,Karachi,Urban,Sarhad University of Science and Information Technology,BSCS,Undergraduate,6,55,2,1.6,1.8,42,38,40,9,7,Yes,Yes,No,No,No,10,Public Transport,Regular,F,Fail,High Risk
1019,Male,19,Peshawar,Rural,Sarhad University of Science and Information Technology,BSSE,Undergraduate,1,78,4,,,70,65,68,7,4,No,Yes,Yes,No,Yes,0,Walk,Load Shedding,C,Pass,Medium Risk
